month;year;long;Lat;depth;dFe
1;2001;-45.3;30;1;0.7
1;2001;-45.3;30;41;0.59
1;2001;-45.3;30;63;0.4
1;2001;-45.3;30;77;0.38
1;2001;-45.3;30;165;0.42
1;2001;-45.3;30;250;0.43
1;2001;-45.3;30;450;0.42
1;2001;-45.3;30;850;0.570000000000001
1;2001;-45.3;30;950;0.59
1;2001;-45.3;30;1050;0.53
1;2001;-45.3;10.2;1;0.560000000000001
1;2001;-45.3;10.2;30;0.7
1;2001;-45;10.2;130;1.12
1;2001;-45;10.2;165;1.01
1;2001;-45;10.2;200;1.23
1;2001;-45;10.2;250;1.09
1;2001;-45;10.2;375;1.23
1;2001;-45;10.2;525;1.11
1;2001;-45;10.2;725;1.06
1;2001;-45;10.2;850;1.16
1;2001;-45;10.2;1050;1.01
1;2001;-45;10.2;1250;0.98
1;2001;-45;10.2;1500;0.77
1;2001;-45;10.2;1750;0.7
1;2001;-45;10.2;3400;0.86
1;2001;-45;10.2;4200;0.63
7;2001;-45;30;1;0.53
7;2001;-45;30;2;0.51
7;2001;-45;30;2;0.53
7;2001;-45;30;4;0.560000000000001
7;2001;-45;30;6;0.580000000000001
7;2001;-45;30;8;0.49
7;2001;-45;30;8;0.46
7;2001;-45;30;11;0.46
7;2001;-45;30;14;0.48
7;2001;-45;30;17;0.51
7;2001;-45;30;19;0.47
7;2001;-45;30;30;0.43
7;2001;-45;30;39;0.43
7;2001;-45;30;79;0.37
7;2001;-45;30;79;0.38
7;2001;-45;30;197;0.45
7;2001;-45;30;197;0.43
7;2001;-45;30;1;0.62
7;2001;-45.5;10.1;2;0.73
7;2001;-45.5;10.1;5;0.61
7;2001;-45.5;10.1;7;0.570000000000001
7;2001;-45.5;10.1;10;0.5
7;2001;-45.5;10.1;13;0.47
7;2001;-45.5;10.1;16;0.53
7;2001;-45.5;10.1;19;0.64
7;2001;-45.5;10.1;22;0.580000000000001
7;2001;-45.5;10.1;25;0.550000000000001
7;2001;-45.5;10.1;28;0.570000000000001
7;2001;-45.5;10.1;49;0.41
7;2001;-45.5;10.1;79;0.38
7;2001;-45.5;10.1;148;0.59
7;2001;-45.5;10.1;198;0.78
3;2002;-37;-24.5;1;0.37
3;2002;-37;-24.5;18;0.4
3;2002;-37;-24.5;69;0.25
3;2002;-37;-24.5;113;0.3
3;2002;-37;-24.5;394;0.27
3;2002;-37;-24.5;544;0.290000000000001
3;2002;-37;-24.5;709;0.38
3;2002;-37;-24.5;841;0.4
3;2002;-37;-24.5;985;0.4
3;2002;-37;-24.5;1181;0.39
3;2002;-37;-24.5;1366;0.47
3;2002;-37;-24.5;1649;0.44
3;2002;-37;-24.5;1787;0.47
3;2002;-37;-24.5;1920;0.47
3;2002;-37;-24.5;2198;0.48
3;2002;-37;-24.5;2494;0.51
3;2002;-37;-24.5;2676;0.52
3;2002;-37;-24.5;3051;0.5
3;2002;-37;-24.5;3308;0.51
3;2002;-37;-24.5;3556;0.42
3;2002;-37;-24.5;3806;0.44
3;2002;-37;-24.5;3905;0.44
3;2002;-37;-24.5;4029;0.42
3;2001;-45.3;30;1;0.48
3;2001;-45;26.2;1;0.49
3;2001;-45;24;1;0.75
3;2001;-45;23;1;0.82
3;2001;-45;21.7;1;0.92
3;2001;-45;20.5;1;0.86
3;2001;-45;18.4;1;0.71
3;2001;-45;18;1;0.65
3;2001;-45;15.8;1;0.67
3;2001;-45;12.3;1;0.32
3;2001;-45;11.6;1;0.45
3;2001;-45;10.6;1;0.39
3;2001;-23.6;29.2;1;0.41
3;2001;-28;29.3;1;0.44
3;2001;-31.9;29.6;1;0.39
3;2001;-35.9;29.7;1;0.62
3;2001;-39.4;29.8;1;0.51
3;2001;-45;30;1;0.43
3;2002;-56.4;11.4;1;0.570000000000001
3;2002;-54.5;10.5;1;0.73
3;2002;-49.5;7;1;0.51
3;2002;-48.4;6.2;1;0.550000000000001
3;2002;-45.6;4.3;1;0.52
3;2002;-44.5;3.3;1;0.64
3;2002;-43.8;3.1;1;0.73
3;2002;-41.5;2.1;1;0.63
3;2002;-35;-0.5;1;0.54
3;2002;-35;-0.5;1;0.53
3;2002;-31.4;-7.4;1;0.25
3;2002;-31.5;-8.5;1;0.290000000000001
3;2002;-32.2;-11.7;1;0.37
3;2002;-32.1;-11.7;1;0.26
3;2002;-32.2;-12.5;1;0.25
3;2002;-32.9;-14.9;1;0.290000000000001
3;2002;-33.3;-16.6;1;0.27
3;2002;-34;-19;1;0.25
3;2002;-34.1;-19.2;1;0.23
3;2002;-35.5;-21.9;1;0.35
3;2002;-36.4;-23.5;1;0.39
3;2002;-36.7;-24.1;1;0.36
10;1995;69.83;-49.12;30;12.58
10;1995;72.67;-47.73;40;0.46
10;1995;71.8;-48.5;40;0.52
10;1995;71.8;-47.8;40;0.99
10;1995;69.98;-48.3;40;6.39
10;1995;71.02;-48;40;5.3
10;1995;71.17;-48.7;40;2.71
10;1995;71.8;-49.13;40;0.580000000000001
10;1995;72.67;-48.47;40;0.71
10;1995;73.58;-48;40;4.11
10;1995;71.02;-49.33;40;7.65
10;1995;70.5;-48.9;50;8.8
9;2000;-11.13;0.83;1;0.21
9;2000;-2.52;-9.92;1;0.18
9;2000;-18.16;9.58;1;0.550000000000001
9;2000;-6;-5.58;1;0.16
2;1999;140;-61;0;0.08
1;1999;140;-61;10;0.05
1;1999;140;-61;10;0.11
1;1999;140;-61;10;0.08
3;1998;-10.62;45.38;10;1.45
3;1998;-10.62;45.38;25;1.08
3;1998;-10.62;45.38;50;0.88
3;1998;-10.62;45.38;75;0.86
3;1998;-10.62;45.38;125;0.8
3;1998;-10.62;45.38;150;0.78
3;1998;-10.62;45.38;200;0.78
3;1998;-17.78;40.5;10;0.8
3;1998;-17.78;40.5;25;0.77
3;1998;-17.78;40.5;50;1.37
3;1998;-17.78;40.5;75;1.23
3;1998;-17.78;40.5;125;1.51
3;1998;-17.78;40.5;150;1.47
3;1998;-17.78;40.5;200;1.59
3;1998;-22.97;37.47;10;0.61
3;1998;-22.97;37.47;30;0.560000000000001
3;1998;-22.97;37.47;50;0.73
3;1998;-22.97;37.47;75;0.79
3;1998;-22.97;37.47;100;0.84
3;1998;-22.97;37.47;250;1.19
3;1998;-22.97;37.47;1000;1.57
3;1998;-22.97;37.47;1500;1.37
3;1998;-22.97;37.47;2000;1.38
3;1998;-23;42.58;10;0.65
3;1998;-23;42.58;20;0.550000000000001
3;1998;-23;42.58;30;0.48
3;1998;-23;42.58;40;0.7
3;1998;-23;42.58;50;0.65
3;1998;-23;42.58;75;0.73
3;1998;-23;42.58;100;1.09
3;1998;-23;42.58;150;1.26
3;1998;-23;42.58;200;1.22
3;1998;-23.02;42.57;250;1.1
3;1998;-23.02;42.57;500;1.16
3;1998;-23.02;42.57;750;1.38
3;1998;-23.02;42.57;900;1.46
3;1998;-23.02;42.57;1000;1.43
3;1998;-23.02;42.57;1500;1.36
3;1998;-23.02;42.57;1750;1.31
3;1998;-23.02;42.57;2000;1.35
3;1998;-23;40;15;0.64
3;1998;-23;40;20;0.61
3;1998;-23;40;30;0.5
3;1998;-23;40;40;0.73
3;1998;-23;40;50;0.83
3;1998;-23;40;65;1.17
3;1998;-23;40;115;1.33
3;1998;-23;40;165;1.4
3;1998;-23;40;200;1.35
3;1998;-23;40;250;1.2
3;1998;-23;40.01;500;1.33
3;1998;-23;40.01;700;1.4
3;1998;-23;40.01;890;1.41
3;1998;-23;40.01;1000;1.53
3;1998;-23;40.01;1065;1.55
3;1998;-23;40.01;1500;1.46
3;1998;-23;40.01;2000;1.49
3;1998;-23;37.01;10;0.63
3;1998;-23;37.01;20;0.62
3;1998;-23;37.01;30;0.580000000000001
3;1998;-23;37.01;40;0.83
3;1998;-23;37.01;50;1.03
3;1998;-23;37.01;75;1.09
3;1998;-23;37.01;100;1.09
3;1998;-23;37.01;150;1.3
3;1998;-23;37.01;200;1.33
3;1998;-23.01;46.67;0;0.7
3;1998;-15.09;48.41;0;0.88
3;1998;-22.99;44.87;0;0.53
3;1998;-17.17;48.18;0;0.77
3;1998;-23.01;42.38;0;0.63
3;1998;-23.01;47.37;0;0.63
3;1998;-14.03;48.55;0;1.06
3;1998;-16.15;48.3;0;0.83
3;1998;-23.01;43.82;0;0.67
3;1998;-11.93;48.78;0;1.07
3;1998;-12.99;48.65;0;1.03
3;1998;-23.01;43.11;0;0.85
3;1998;-21.21;47.69;0;0.580000000000001
3;1998;-19.23;47.97;0;0.82
3;1998;-23.01;45.23;0;0.66
4;1999;20;-49.33;20;0.18
4;1999;20;-49.83;20;0.05
4;1999;18.5;-60;20;0.18
4;1999;6.13;-70.23;20;0.17
4;1999;20;-48.83;20;0.43
4;1999;20;-54;20;0.290000000000001
4;1999;0;-67;25;0.06
4;1999;20;-49.33;40;0.13
4;1999;20;-48.83;40;0.24
4;1999;20;-49.83;40;0.09
4;1999;20;-54;40;0.28
4;1999;6.13;-70.23;40;0.12
4;1999;0;-67;50;0.2
4;1999;6.13;-70.23;60;0.32
4;1999;18.5;-60;60;0.15
4;1999;20;-54;60;0.11
4;1999;20;-49.33;60;0.05
4;1999;20;-54;80;0.28
4;1999;20;-49.33;80;0.08
4;1999;20;-49.83;80;0.09
4;1999;6.13;-70.23;100;0.22
4;1999;20;-49.33;100;0.13
4;1999;20;-48.83;100;0.1
4;1999;20;-54;100;0.37
4;1999;0;-67;100;0.11
4;1999;18.5;-60;100;0.19
4;1999;20;-49.83;100;0.09
4;1999;20;-49.33;129;0.15
4;1999;20;-54;130;0.27
4;1999;20;-49.33;150;0.13
4;1999;20;-48.83;150;0.51
4;1999;20;-49.83;150;0.19
4;1999;6.13;-70.23;150;0.15
4;1999;6.13;-70.23;200;0.15
4;1999;18.5;-60;250;0.18
4;1999;20;-48.83;250;0.35
4;1999;0;-67;250;0.14
4;1999;20;-49.33;250;0.08
4;1999;20;-49.83;250;0.1
4;1999;20;-54;250;0.11
4;1999;6.13;-70.23;271;0.16
4;1999;20;-49.33;293;0.23
4;1999;20;-48.83;298;0.21
4;1999;18.5;-60;300;0.26
4;1999;20;-54;400;0.16
4;1999;18.5;-60;400;0.28
4;1999;20;-48.83;478;0.64
4;1999;20;-49.83;500;0.25
4;1999;0;-67;500;0.15
4;1999;20;-49.33;528;0.290000000000001
4;1999;6.13;-70.23;610;0.2
4;1999;20;-54;700;0.48
4;1999;20;-48.83;701;0.38
4;1999;20;-49.83;750;0.02
4;1999;20;-48.83;800;0.11
4;1999;6.13;-70.23;986;0.26
4;1999;18.5;-60;1000;0.26
4;1999;20;-54;1000;0.18
4;1999;0;-67;1000;0.24
4;1999;20;-49.83;1000;0.07
4;1999;0;-67;1500;0.28
4;1999;18.5;-60;2000;0.290000000000001
4;1999;0;-67;2500;0.290000000000001
4;1999;18.5;-60;3000;0.4
4;1999;0;-67;3500;0.28
4;1999;18.5;-60;4000;0.35
4;1999;0;-67;4500;0.31
4;1999;18.5;-60;4500;0.290000000000001
4;2001;-158;22.75;1;0.665600000000001
4;2001;-158;22.75;20;0.757760000000001
4;2001;-158;22.75;75;0.419840000000001
4;2001;-158;22.75;317;0.409600000000001
4;2001;-158;22.75;476;0.450560000000001
4;2001;-158;22.75;807;0.512000000000001
4;2001;-158;22.75;998;0.481280000000001
4;2001;-158;22.75;1162;0.778240000000001
4;2001;-158;22.75;1260;0.665600000000001
4;2001;-158;22.75;1517;0.59392
4;2001;-158;22.75;1951;0.59392
4;2001;-158;22.75;2848;0.419840000000001
4;2001;-158;22.75;3322;0.460800000000001
4;2001;-158;22.75;3797;0.419840000000001
7;2002;-158;22.75;10;0.471040000000001
7;2002;-158;22.75;20;0.327680000000001
7;2002;-158;22.75;30;0.450560000000001
7;2002;-158;22.75;70;0.27648
7;2002;-158;22.75;110;0.09216
7;2002;-158;22.75;986;0.860160000000001
7;2002;-158;22.75;1194;1.024
7;2002;-158;22.75;1429;0.768000000000001
7;2002;-158;22.75;1739;0.788480000000001
7;2002;-158;22.75;2432;0.491520000000001
7;2002;-158;22.75;2886;0.501760000000001
7;2002;-158;22.75;3848;0.450560000000001
5;1999;-158;22.75;1;0.512000000000001
5;1999;-158;22.75;1;0.522240000000001
5;1999;-158;22.75;1;0.440320000000001
5;1999;-158;22.75;10;0.3072
4;2001;-158;22.75;1;0.645120000000001
4;2001;-158;22.75;20;0.706560000000001
7;2002;-158;22.75;10;0.481280000000001
7;2002;-158;22.75;20;0.3584
7;2002;-158;22.75;10;0.368640000000001
10;2002;-158;22.75;0;0.583680000000001
10;2002;-158;22.75;10;0.389120000000001
10;2002;-158;22.75;40;0.552960000000001
10;2002;-158;22.75;10;0.430080000000001
10;2002;-158;22.75;40;0.512000000000001
5;2002;142.19;28.25;1;0.36
5;2002;142.74;29;1;0.43
5;2002;144.94;31.89;1;0.24
5;2002;145.67;32.84;1;0.22
5;2002;147.16;34.73;1;0.17
5;2002;144.14;34.61;1;0.25
5;2002;142.71;34.53;1;0.31
5;2002;141.43;34.8;1;0.3
5;2002;141.05;35.36;1;0.290000000000001
5;2002;144.57;37.66;1;0.25
5;2002;145.56;38.27;1;0.2
